record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
35,NorsemanII_Oct2052,10/18/2018,22:05:37,10/18/2018,15:05:37, 48 13.40 N, 123 28.98 W,48.2233,-123.483,136,5,,10.376,10.29,10.5186,,2,,31.3239,,2,,23.997,,5.6529,,5.6529,2,,5.775377623,,,5.775377623,176.3,2,,,,,,,23.350,0.339,0.511,2.157,43.671,2,1.489,,,,,,,,,2137.2,2,2089.2,2,
36,NorsemanII_Oct2053,10/18/2018,22:05:59,10/18/2018,15:05:59, 48 13.40 N, 123 28.98 W,48.2233,-123.483,136,6,,1.541,1.528,10.9624,,2,,31.2926,,2,,23.8966,,5.8538,,5.8538,2,,,,,,,9,missing titration,,,,,,23.385,0.334,0.502,2.147,43.833,2,0.8153,,,,,,,,,2134.4,2,2083.8,2,
37,NorsemanII_Oct2054,10/19/2018,2:17:15,10/18/2018,19:17:15, 48 16.37 N, 123 01.16 W,48.2728,-123.0193,22,1,,104.412,103.518,8.3984,,2,,33.2809,,2,,25.8663,,2.7229,,2.7229,2,,,,,,,9,missing titration,,,,,,30.653,0.167,0.171,2.451,48.642,2,0.0872,,,,,,,,,2247.4,2,2221.1,2,
38,NorsemanII_Oct2055,10/19/2018,2:18:19,10/18/2018,19:18:19, 48 16.37 N, 123 01.16 W,48.2728,-123.0193,22,2,,80.431,79.746,8.4832,,2,,33.2037,,2,,25.7926,,2.83,,2.83,2,,,,,,,9,missing titration,,,,,,,,,,,9,0.0952,,,,,,,,,2226.3,2,2213.6,2,
39,NorsemanII_Oct2056,10/19/2018,2:19:36,10/18/2018,19:19:36, 48 16.37 N, 123 01.16 W,48.2728,-123.0193,22,3,,50.522,50.096,9.3542,,2,,32.3945,,2,,25.0237,,4.0279,,4.0279,2,,,,,,,9,missing titration,,,,,,27.584,0.262,0.510,2.324,45.836,2,0.3381,,,,,,,,,2188.4,2,2161.9,2,
40,NorsemanII_Oct2057,10/19/2018,2:20:52,10/18/2018,19:20:52, 48 16.37 N, 123 01.16 W,48.2728,-123.0193,22,4,,20.285,20.115,10.3214,,2,,30.9409,,2,,23.7319,,5.5072,,5.5072,2,,,,,,,9,missing titration,,,,,,,,,,,9,0.9895,,,,,,,,,2117.1,2,2072.3,2,
41,NorsemanII_Oct2058,10/19/2018,2:21:18,10/18/2018,19:21:18, 48 16.37 N, 123 01.16 W,48.2728,-123.0193,22,5,,10.586,10.497,10.4256,,2,,30.7705,,2,,23.5817,,5.7856,,5.7856,2,,,,,,,9,missing titration,,,,,,22.598,0.313,0.543,2.083,42.973,2,1.3597,,,,,,,,,2110.1,2,2062.1,2,
42,NorsemanII_Oct2059,10/19/2018,2:21:41,10/18/2018,19:21:41, 48 16.37 N, 123 01.16 W,48.2728,-123.0193,22,6,,1.363,1.352,10.6481,,2,,30.651,,2,,23.4512,,6.4166,,6.4166,2,,,,,,,9,missing titration,,,,,,21.925,0.322,0.453,2.044,42.947,2,1.5153,,,,,,,,,2103.6,2,2045.4,2,
43,NorsemanII_Oct2060,10/19/2018,14:54:47,10/19/2018,7:54:47, 47 42.17 N, 122 27.21 W,47.7028,-122.4535,28,1,,182.442,180.845,11.1179,,2,,31.0426,,2,,23.6789,,5.3309,,5.3309,2,,,,,,,9,missing titration,,,,,,23.060,0.417,1.155,2.263,45.388,2,0.4704,,,,,,,,,2124.4,2,2082.5,2,
44,NorsemanII_Oct2061,10/19/2018,14:59:15,10/19/2018,7:59:15, 47 42.17 N, 122 27.21 W,47.7028,-122.4535,28,2,,80.542,79.856,11.8712,,2,,30.7978,,2,,23.3528,,5.2171,,5.2171,2,,,,,,,9,missing titration,,,,,,24.685,0.133,0.027,2.303,45.017,2,0.1415,,,,,,,,,2107.8,2,2069.2,2,
